name,年齡,職業,學歷,身高,體重(磅),身段,嗜好,志向
金美黎  Nicole Kam,23,學生,大學,5'7,102 ,"33 , 24 , 34吋",彈鋼琴、旅遊、運動、觀賞電影,成為出色藝人及主持，透過演出作品將歡樂、希望及愛傳遞給大家，回饋社會。
劉穎敏   Angela Lau,22,旅遊記者,大學畢業,5'5,105 ,彈鋼琴、跑步、閱讀、繪畫、撰稿,傳播快樂及正能量。
何依婷  Regina Ho,23,金融服務顧問,大學畢業,5'3½,96 ,"32 , 22 , 34吋",跳舞、閱讀、運動、旅遊,成為香港小姐及出色藝人，透過自己的影響力宣揚公益事務及社企等慈善工作。
李清心  Katarina Li,22,畢業生,大學畢業,5'4,109 ,"32 , 24 , 35吋",跳舞、閱讀、繪畫、烹飪,成為一位成功、不停進步及快樂的人，貢獻社會。
黃凱琪  Suki Wong,24,畢業生,大學畢業,5'10,112 ,"32 , 24½ , 35吋",閱讀、觀賞電影、聽音樂、旅遊,成為一位成功人士，幫助有需要的人。
張寶欣  Boanne Cheung,23,畢業生,大學畢業,5'3½,109 ,"31½  , 23½  , 34½ 吋",運動 (排球、游泳、遠足、跑步)、閱讀、彈鋼琴、品嚐美食、跟家人及朋友聚會,成為一位有價值的人。
雷莊𠒇  Juliette Louie,23,演員,大學畢業,5'7 ,118 ,"34½  , 26  , 36吋",排球、烹飪、體能訓練、跳舞(包括：高跟鞋舞、嘻哈舞、爵士舞),成為一位有影響力的人，將正能量帶給其他人。
胡美貽  Nicole Wu,23,小企創業家,大學畢業,5'5½,110 ,運動(攀石、遠足、踏單車)、旅遊、攝影、烹飪,成為一位出色演員，透過創業經驗鼓勵所有人。
梁雯蔚  Sandy Leung,22,學生 / 兼職模特兒,大學畢業,5'1½,98 ,"31 , 24 , 34吋",攝影、演戲、籃球、踏單車、旅遊、唱歌(包括：粵曲)、跳舞(包括：中國舞),突破自我，發展潛能。
伍樂怡  Kelly Ng,24,人力資源文員,大學畢業,5'6,106 ,"32 , 22¾ , 34吋",騎馬、觀賞電影、聽音樂、烹飪、旅遊、遠足,成為一位能讓家人及朋友驕傲的人，傳播正能量給身邊所有人。
黃瑋琦  Emily Wong,23,採購員,大學畢業,5'5,97 ,"32 , 23 , 33½吋",遠足、旅遊、時裝設計、陶藝、閱讀、游泳,幫助及改善兒童教育。
邱晴  Mandy Yau,17,學生,中六畢業,5'7½,125 ,"34½ , 24½ , 36½吋",彈古箏、繪畫、泰拳、滑長板、品嚐美食、玩網絡遊戲,將自己樂觀積極的性格感染其他人。
